chapter,section,topic,refOne,refTwo,refThree,content,highlight,bookmark,Unnamed: 9,Unnamed: 10
2,A,,,,,02.A General. Employers shall establish and maintain hygienic sanitation provisions for all employees in all places of employment as specified in the following paragraphs.,True,False,,
2,B,,,,,02.B Housekeeping.,True,False,,
2,B,1.0,,,,"02.B.01 Places of employment shall be kept as clean as possible, taking into consideration the nature of the work. Regular cleaning shall be conducted in order to maintain safe and sanitary conditions in the workplace.",True,False,,
2,B,1.0,a,,,a. Periodic sanitation inspections of food preparation areas (kitchens and dining facilities) shall be conducted at least weekly and documented.,False,False,,
2,B,1.0,b,,,"b. In workplaces where toxic dusts, fumes, or mists are generated, all surfaces in the work area and adjacent common use areas shall be cleaned in accordance with a written Housekeeping Plan based on the frequency and quantity of toxic material generation.",False,False,,
2,B,2.0,,,,"02.B.02 The floor of every workroom shall be kept as dry as possible. Drainage shall be maintained where wet processes are used, and false floors, platforms, mats, or other dry standing places shall be provided, when possible. Appropriate footwear shall also be provided.",True,False,,
2,B,3.0,,,,"02.B.03 To facilitate cleaning, every floor, working place, and passageway shall be kept free from protruding nails, splinters, loose boards, clutter and unnecessary holes and openings.",True,False,,
2,C,,,,,02.C Drinking Water.,True,False,,
2,C,1.0,,,,"02.C.01 An adequate supply of potable water shall be provided in all places of employment, for both drinking and personal cleansing.",True,False,,
2,C,1.0,a,,,"a. Drinking water shall be provided, whenever possible, from a local municipal water supply that is in compliance with federal, state, and local drinking water standards.",False,False,,
2,C,1.0,b,,,"b. When drinking water is obtained from an on-site well, the water shall be tested and the system supplied in accordance with the Safety Drinking Water Act, 40 CFR 141-143, and any state or local drinking water regulations.",False,False,,
2,C,1.0,c,,,"c. If water is not available from a local municipal water supply or on-site well, a temporary potable water system shall be provided from a licensed drinking water source.",False,False,,
2,C,1.0,d,,,"d. Outside the Continental Unites States (OCONUS), drinking water at military fixed facilities shall be provided in compliance with country-specific Final Governing Standards (FGS). In the absence of FGS, the National Primary Drinking Water Regulations (NPDWR) as outlined in the Overseas Environmental Baseline Guidance Document (OEBGD), Department of Defense Instruction (DODI) 4715.5-G shall be followed. In addition, sanitary control and surveillance of water supplies and chlorination and fluoridation shall be conducted according to applicable Department of Defense (DoD) Component guidelines, or if more stringent, the host nation requirements.",False,False,,
2,C,1.0,e,,,"e. Drinking water on all Army floating vessels shall be provided according to 40 CFR 141 and Chapter 6 of Navy Medical (NAVMED) P-5010. Drinking water and water for washing on all Army floating vessels shall be provided from a potable water source which meets the federal and state requirements or, if generated on the vessel, shall be tested and shall meet the federal and state drinking water requirements.",False,False,,
2,C,1.0,e,1.0,,"(1) All hoses, pumps, and valves, shall be dedicated to potable drinking water only and shall be rinsed before each use.",False,False,,
2,C,1.0,e,2.0,,"(2) Before connecting at shore side, the supply water should be flushed for 30 seconds.",False,False,,
2,C,1.0,e,3.0,,"(3) After transfer is complete, the vessel hose shall be removed first, then the shore side hose removed, and the supply source shall be flushed again and capped.",False,False,,
2,C,1.0,e,4.0,,"(4) Drain all hoses, pumps, and valves after each use.",False,False,,
2,C,1.0,e,5.0,,(5) Storage tanks on vessels shall be either chemically or mechanically disinfected when the water fails to meet two consecutive drinking water tests.,False,False,,
2,C,2.0,,,,02.C.02 Cool drinking water shall be provided during hot weather.,True,False,,
